```csv
RespondentID,Age,Gender,IncomeBracket,LikelyToTry(1-5),BuyReason,PriceWilling,PreferredChannel,Concerns
1,28,Female,50k-75k,4,"Natural immunity boost for daily stress",₱65,convenience store,"Sugar content?"
2,32,Male,75k-100k,5,"Ginger for my upset stomach and calamansi for vitamins",₱85,office delivery,"None really"
3,26,Female,30k-50k,3,"If it really gives energy without crash",₱45,online,"Taste might be too sour"
4,35,Male,100k+,4,"Convenient for office lunch breaks",₱65,convenience store,"Availability in my area"
5,29,Female,50k-75k,5,"Natural alternative to coffee for tiredness",₱85,office delivery,"Preservatives?"
6,31,Male,75k-100k,4,"Immunity during flu season",₱65,online,"Price per bottle"
7,27,Female,30k-50k,2,"Not sure if effective",₱45,convenience store,"Too expensive for daily"
8,38,Male,100k+,5,"Ginger helps my digestion",₱85,office delivery,"None"
9,30,Female,50k-75k,4,"Quick energy for busy days",₱65,convenience store,"Shelf life"
10,33,Male,75k-100k,3,"If recommended by friends",₱65,online,"Allergic to ginger?"
11,25,Female,30k-50k,5,"Love calamansi, perfect for immunity",₱45,convenience store,"Packaging size"
12,36,Male,100k+,4,"Natural and no artificial stuff",₱85,office delivery,"Taste test needed"
13,29,Female,50k-75k,5,"For post-workout recovery",₱65,online,"Calories?"
14,34,Male,75k-100k,4,"Helps with colds",₱65,convenience store,"Availability"
15,28,Female,50k-75k,3,"Maybe for variety",₱45,office delivery,"Too gingery?"
16,37,Male,100k+,5,"Boosts energy naturally",₱85,online,"None"
17,26,Female,30k-50k,4,"Convenient packaging",₱65,convenience store,"Sweetness level"
18,31,Male,75k-100k,5,"Immunity for family too",₱85,office delivery,"Storage in fridge?"
19,32,Female,50k-75k,3,"If on promo",₱45,online,"Effectiveness proof"
20,39,Male,100k+,4,"Ginger for nausea",₱65,convenience store,"Bottle size small?"
21,27,Female,30k-50k,5,"Natural vitamins daily",₱65,office delivery,"None"
22,30,Male,50k-75k,4,"For long commutes",₱85,convenience store,"Traffic to buy"
23,35,Female,75k-100k,5,"Tired of sodas, want healthy",₱65,online,"Delivery fees"
24,29,Male,50k-75k,3,"Curious about taste",₱45,office delivery,"Might not like flavor"
25,33,Female,75k-100k,4,"Office wellness",₱65,convenience store,"Ingredients list"
26,36,Male,100k+,5,"Prevents LBM",₱85,online,"None"
27,28,Female,30k-50k,4,"Quick shot for mornings",₱65,office delivery,"Acidity on stomach"
28,31,Male,50k-75k,5,"Natural energy no jitters",₱85,convenience store,"Price consistency"
29,34,Female,75k-100k,3,"If affordable daily",₱45,online,"Subscription option?"
30,37,Male,100k+,4,"Immunity booster",₱65,office delivery,"Labeling clear?"
31,26,Female,30k-50k,5,"Calamansi fan",₱65,convenience store,"None"
32,32,Male,50k-75k,4,"Ginger for sore throat",₱85,online,"Hot or cold drink?"
33,29,Female,75k-100k,5,"Busy mom needs energy",₱65,office delivery,"Kid-friendly?"
34,38,Male,100k+,3,"Trial first",₱45,convenience store,"Return policy"
35,30,Female,50k-75k,4,"Natural detox",₱65,online,"Freshness"
36,35,Male,75k-100k,5,"Office desk essential",₱85,office delivery,"None"
37,27,Female,30k-50k,4,"Vitamin C boost",₱65,convenience store,"Sugar free?"
38,33,Male,50k-75k,5,"Reduces fatigue",₱85,online,"Bulk discount"
39,31,Female,75k-100k,3,"If not too spicy",₱45,office delivery,"Spice level"
40,39,Male,100k+,4,"Health conscious",₱65,convenience store,"Certifications"
41,28,Female,30k-50k,5,"Love local flavors",₱65,online,"None"
42,34,Male,50k-75k,4,"Immunity for rainy season",₱85,office delivery,"Leakage"
43,29,Female,75k-100k,5,"Energy without caffeine",₱65,convenience store,"Caffeine free confirm"
44,36,Male,100k+,4,"Quick refresh",₱65,online,"Variety of flavors"
45,32,Female,50k-75k,3,"Price sensitive",₱45,office delivery,"Value for money"
46,37,Male,75k-100k,5,"Ginger benefits",₱85,convenience store,"None"
47,26,Female,30k-50k,4,"For workouts",₱65,online,"Protein added?"
48,30,Male,50k-75k,5,"Natural remedy",₱85,office delivery,"Authenticity"
49,35,Female,75k-100k,4,"Daily wellness shot",₱65,convenience store,"Expiration date"
50,38,Male,100k+,3,"Maybe occasional",₱45,online,"Habit forming?"
51,27,Female,30k-50k,5,"Tastes good probably",₱65,office delivery,"None"
52,31,Male,50k-75k,4,"Anti-fatigue",₱85,convenience store,"Office pantries"
53,33,Female,75k-100k,5,"Immunity shield",₱65,online,"Vegan?"
54,39,Male,100k+,4,"Portable",₱65,office delivery,"Plastic bottle eco?"
55,28,Female,50k-75k,3,"If discounted",₱45,convenience store,"Promo availability"
56,34,Male,75k-100k,5,"Morning ritual",₱85,online,"None"
57,29,Female,30k-50k,4,"Calamansi freshness",₱65,office delivery,"Artificial flavors?"
